CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
SKU1L007,2015,"22,000","37,500","55,500","43,000","85,500","42,000","40,000","68,000","68,000","115,500","58,500","67,500"
SKU1L008,2015,"105,400","194,000","272,250","231,100","393,250","176,500","160,100","244,000","379,000","333,600","206,225","286,000"
SKU1L009,2015, -   ,500,500,500,500, -   , -   ,"1,000", -   ,500,500, -   
SKU1L010,2015,"6,150","6,600",500,"3,500", -   ,"3,500","3,500","6,500", -   ,"3,050","5,500","4,395"
SKU1L011,2015,"5,335","7,000","7,520","4,070","3,595","3,720","5,720","7,040","7,210","8,500","3,440","3,000"
SKU1L012,2015,"1,217","2,187","2,776","3,992","4,961","2,130","2,127","4,457","5,322","4,411","2,907","2,073"
SKU1L013,2015,"2,500","5,000","2,550","2,530", -   ,"2,510","2,640","2,500","2,500","2,630","2,500","4,500"
SKU1L014,2015, -   ,"6,000","10,000","27,000","-16,000","6,750","17,000","1,000","6,500", -   ,"3,000",500
SKU1L015,2015, -   ,"3,000",500,"1,000","1,000",500,"1,500","3,500","3,000","1,500","1,500","3,000"
SKU2001,2015, -   ,"10,800","7,350", -   , -   ,"7,000","9,000","10,030","13,720","10,000","12,000","11,000"
SKU2002,2015,"1,330","2,311","1,420","1,109","1,610","1,909","2,215","1,980","1,410","3,620","1,567","2,340"
SKU2003,2015,"40,424","55,120","75,400","56,215","81,161","69,573","63,900","70,301","97,050","86,550","71,628","97,923"
SKU2004,2015,"11,435","11,500","17,150","12,832","12,175","20,050","14,725","23,400","33,425","24,250","19,000","20,725"
SKU2005,2015,125,"5,025",100,"1,325",700,"2,100","1,400","1,350","1,225","1,875","2,700","2,125"
SKU2006,2015,600,825,700,650,"1,050","3,650","1,375","1,475","1,909","2,414","1,450","1,400"
SKU2007,2015,330,362,430,670,568,"1,250",-160,420,"1,160",580,"1,900",200
SKU2008,2015,20,70,260,20,90,39,10,160,20,70,100,50
SKU2009,2015, -   ,110,200, -   ,240,70,275,50,40,450,148,150
SKU2010,2015,22,528,38,"1,038",53,128,578,160,760,127,556,20
SKU2011,2015,200,500,300, -   , -   , -   ,600,300,370,400,500,497
SKU2012,2015, -   , -   , -   , -   , -   , -   , -   , -   ,"2,700", -   ,"61,900","67,250"
SKU2013,2015,260,580,70,180,100,9,596,760,650,830,"4,499", -   
SKU2014,2015, -   ,"10,800","7,350", -   , -   ,"7,000","9,000","10,030","13,720","10,000","12,000","11,000"
SKU2015,2015,200,500,300, -   , -   , -   ,600,300,370,400,500,497
SKU3001,2015, -   ,"20,000","110,000", -   ,"164,000","111,000", -   ,"182,500","78,000","68,000","263,000","52,500"
SKU3002,2015,"30,000","20,000","86,000","40,000","141,500","57,500", -   ,"177,000","78,500","50,000","223,500","42,500"
SKU3003,2015,"62,000","30,000","120,000", -   ,"124,000","101,500", -   ,"108,500","133,500","50,000","293,500","73,500"
SKU3004,2015,"132,000","80,000","534,500","150,000","537,500","432,500","128,000","476,500","353,500","105,000","840,000","200,500"
SKU3005,2015,"51,000","30,000","125,000","60,000","141,500","101,500", -   ,"134,000","134,000","76,000","329,000","62,500"
SKU3006,2015, -   ,"3,000", -   , -   ,"6,500","1,000", -   ,400,"4,400","7,000","6,400","4,000"
SKU3007,2015, -   ,"2,000", -   , -   ,"1,800","1,400", -   ,600,"3,000","2,500","3,200", -   
SKU3008,2015, -   ,"20,000", -   , -   ,"22,000","10,000", -   ,"29,200","59,200", -   ,"60,400", -   
SKU3009,2015, -   , -   ,"2,800", -   ,"1,200","2,000", -   , -   ,"5,200", -   ,"5,600","4,000"
SKU3010,2015, -   , -   , -   , -   ,"4,000","4,000", -   ,"2,800","22,400","19,452","17,348", -   
SKU3011,2015, -   ,"60,000","10,000","15,200","59,200","46,000", -   ,"58,400","112,400","119,200","125,600","20,000"
SKU3012,2015, -   , -   , -   ,"3,600","2,400","1,600", -   , -   , -   , -   ,400, -   
SKU3013,2015, -   , -   , -   ,"2,400","1,600","1,200", -   ,"3,600", -   , -   ,"4,400","4,400"
SKU3014,2015, -   , -   , -   ,"8,000", -   , -   , -   , -   , -   , -   ,"4,400","4,400"
SKU3015,2015,"2,000","2,000", -   , -   ,"1,000", -   , -   , -   ,"2,500","2,000","1,000","1,500"
SKU3016,2015, -   , -   , -   , -   ,"17,200","12,000", -   ,"18,400","28,800","16,000","33,200", -   
SKU3017,2015, -   , -   ,"11,000","8,000","33,000","48,500", -   ,"30,500","37,500", -   ,"57,500","9,500"
SKU3018,2015, -   , -   , -   , -   ,"2,000","2,000", -   ,"2,800","18,400","10,400","4,400", -   
SKU3019,2015,"1,500","3,000","12,000", -   ,"6,000","26,500", -   ,"20,250","67,500","19,500","21,000","1,000"
SKU3020,2015,100,20,180,41,177,219, -   ,307,103,55,343,30
SKU1L001,2016,"185,000","642,000","1,409,450","790,500","890,900","1,111,500","377,000","533,000","1,176,000","680,500","1,340,500","1,308,000"
SKU1L002,2016,"75,100","228,000","310,800","340,000","276,050","291,200","237,466","223,050","344,100","272,000","547,000","456,100"
SKU1L003,2016,"33,000","84,000","135,500","139,000","104,500","107,000","46,500","65,500","130,500","116,000","195,500","178,000"
SKU1L004,2016,"125,200","403,900","886,100","507,600","581,520","755,700","298,700","386,000","703,500","479,000","863,500","890,950"
SKU1L005,2016,"38,100","156,000","202,450","184,000","151,000","200,000","78,500","124,550","185,000","168,000","251,000","269,500"
SKU1L006,2016,"100,600","290,500","608,450","422,000","384,500","564,000","197,000","248,000","474,600","314,150","495,100","619,350"
SKU1L007,2016,"11,500","38,000","59,500","62,500","48,000","68,000","18,500","39,000","52,000","30,000","78,000","98,500"
SKU1L008,2016,"68,100","172,500","319,500","248,500","235,100","301,000","110,000","172,050","285,050","199,350","301,450","398,000"
SKU1L009,2016,"1,000",500,500, -   ,500, -   ,500, -   ,"1,000", -   , -   , -   
SKU1L010,2016,"12,400", -   ,"9,970","5,430","5,000", -   , -   , -   ,"1,500", -   ,"3,000",500
SKU1L011,2016,"8,000","3,580","8,500","5,590","11,140","4,300","3,000","5,950","8,300","3,550","11,630","11,150"
SKU1L012,2016,"1,295","3,373","9,726","4,122","2,845","2,548","4,180","1,640","4,857","3,550","3,672","6,200"
SKU1L013,2016,"3,000","3,060","3,020","8,348","3,050","-2,070",100, -   ,"1,530","1,670","4,060","4,450"
SKU1L014,2016,"7,500","8,000","5,000","5,000", -   ,"8,000", -   ,"11,000", -   ,"9,000", -   , -   
SKU1L015,2016, -   , -   ,500,"2,000","1,400","1,000", -   ,"5,500","2,500","2,000","3,500","7,500"
SKU2001,2016, -   , -   , -   ,"-7,300","1,600","7,400","2,500","2,200","6,000","6,000","7,300","4,990"
SKU2002,2016,"1,030",570,"2,125","1,432","2,532","2,280",560,"1,270","2,180","2,420","4,530","3,520"
SKU2003,2016,"45,375","95,250","117,940","63,104","138,675","99,996","82,975","148,100","135,675","80,950","135,600","89,225"
SKU2004,2016,"8,700","13,275","21,758","8,869","15,375","20,625","15,725","13,975","20,770","15,030","22,596","18,725"
